"sourceApp";"sourceId";"date";"sourceTime";"type";"amountMinor";"currency";"categorySourceId";"category";"note";"sourcePaymentId";"sourceShopId"
"okane-reco";"990001";"2026-06-03";"08:15";"expense";"8450";"CZK";"9910";"Potraviny";"Pečivo a mléko";"1";"101"
"okane-reco";"990002";"2026-06-05";"18:40";"expense";"129900";"CZK";"9911";"Bydlení";"Nájem za červen";"2";"102"
"okane-reco";"990003";"2026-06-07";"12:10";"expense";"36500";"CZK";"9912";"Doprava";"Měsíční jízdenka";"1";"103"
"okane-reco";"990004";"2026-06-10";"09:00";"income";"4250000";"CZK";"9920";"Výplata";"Červnová výplata";"3";"104"
"okane-reco";"990005";"2026-06-12";"19:25";"expense";"7420";"CZK";"9913";"Restaurace";"Večeře; výročí";"1";"105"
"okane-reco";"990006";"2026-06-16";"16:30";"expense";"15990";"CZK";"9914";"Zdraví";"Lékárna";"1";"106"
"okane-reco";"990007";"2026-06-21";"14:20";"income";"85000";"CZK";"9921";"Prodej";"Prodej starého stolku";"3";"107"
"okane-reco";"990008";"2026-06-24";"17:45";"expense";"28900";"CZK";"9915";"Zábava";"Vstupenky do kina";"1";"108"
"okane-reco";"990009";"2026-07-02";"07:55";"expense";"11230";"CZK";"9910";"Potraviny";"Ovoce, zelenina a sýr";"1";"101"
"okane-reco";"990010";"2026-07-05";"18:05";"expense";"129900";"CZK";"9911";"Bydlení";"Nájem za červenec";"2";"102"
"okane-reco";"990011";"2026-07-09";"09:00";"income";"4250000";"CZK";"9920";"Výplata";"Červencová výplata";"3";"104"
"okane-reco";"990012";"2026-07-11";"13:15";"expense";"6750";"CZK";"9913";"Restaurace";"Oběd, nabídka ""menu""";"1";"105"
"okane-reco";"990013";"2026-07-14";"20:05";"expense";"18900";"CZK";"9916";"Domácnost";"Nová konvice";"2";"109"
"okane-reco";"990014";"2026-07-18";"10:30";"income";"32000";"CZK";"9922";"Vrácené peníze";"Reklamace bot";"3";"110"
"okane-reco";"990015";"2026-07-22";"17:50";"expense";"9500";"CZK";"9917";"Dárky";"Dárek pro Aničku";"1";"111"
"okane-reco";"990016";"2026-07-27";"08:25";"expense";"22000";"CZK";"9912";"Doprava";"Benzín";"1";"112"
"okane-reco";"990017";"2026-08-01";"11:10";"expense";"13780";"CZK";"9910";"Potraviny";"Víkendový nákup";"1";"101"
"okane-reco";"990018";"2026-08-02";"15:40";"expense";"4990";"CZK";"9915";"Zábava";"Knihy pro děti";"1";"108"
"okane-reco";"990019";"2026-08-02";"18:10";"income";"150000";"CZK";"9923";"Přivýdělek";"Překlad textu";"3";"113"
"okane-reco";"990020";"2026-08-02";"19:30";"expense";"23450";"CZK";"9918";"Ostatní";"Test českých znaků: č, ř, ž";"1";"114"
